rank,sourceid,title,type,issn,sjr,sjr_best_quartile,h_index,total_docs._(2013),total_docs._(3years),total_refs.,total_cites_(3years),citable_docs._(3years),cites_/_doc._(2years),ref._/_doc.,%female,overton,sdg,country,region,publisher,coverage,categories,areas,year,total_docs._(2014),total_docs._(2015),total_docs._(2016),total_docs._(2017),total_docs._(2018),total_docs._(2019),total_docs._(2020),total_docs._(2021),total_docs._(2022),total_docs._(2023),areas_split,Min_Percentile_own,sjr_best_quartile_own
5329,21100374601,IEEE Access,journal,21693536,"0,851",Q1,242,,64,5582,237,63,"3,70","45,02","18,06",0,0,United States,Northern America,Institute of Electrical and Electronics Engineers Inc.,2013-2023,Computer Science (miscellaneous) (Q1); Engineering (miscellaneous) (Q1); Materials Science (miscellaneous) (Q1),Computer Science; Engineering; Materials Science,2014,124.0,,,,,,,,,,"['Computer Science', 'Engineering', 'Materials Science']",7.281105990783409,D1
5375,62932,Energies,journal,19961073,"0,844",Q1,152,,759,16234,2224,757,"2,86","38,29","21,97",42,0,Switzerland,Western Europe,Multidisciplinary Digital Publishing Institute (MDPI),2008-2023,"Electrical and Electronic Engineering (Q1); Energy Engineering and Power Technology (Q1); Energy (miscellaneous) (Q1); Control and Optimization (Q2); Renewable Energy, Sustainability and the Environment (Q2)",Energy; Engineering; Mathematics,2014,424.0,,,,,,,,,,"['Energy', 'Engineering', 'Mathematics']",9.5351137487636,D1
6011,76627,Materials,journal,19961944,"0,767",Q1,168,,577,22517,1696,576,"2,98","49,27","30,08",8,0,Switzerland,Western Europe,Multidisciplinary Digital Publishing Institute (MDPI),2008-2023,Materials Science (miscellaneous) (Q1),Materials Science,2014,457.0,,,,,,,,,,['Materials Science'],12.630208333333334,Q1
6970,13909,Geobios,journal,"00166995, 17775728","0,669",Q2,58,,154,2204,220,151,"1,35","68,88","18,02",0,0,France,Western Europe,Elsevier Masson s.r.l.,"1966, 1968-2023",Stratigraphy (Q2); Space and Planetary Science (Q3),Earth and Planetary Sciences,2014,32.0,,,,,,,,,,['Earth and Planetary Sciences'],22.059758423394786,Q1
7805,21100255493,Journal of Environmental Chemical Engineering,journal,"22133437, 22132929","0,589",Q2,127,,178,12182,441,177,"2,48","44,14","31,28",10,0,United Kingdom,Western Europe,Elsevier B.V.,2013-2023,Chemical Engineering (miscellaneous) (Q2); Pollution (Q2); Process Chemistry and Technology (Q2); Waste Management and Disposal (Q2),Chemical Engineering; Environmental Science,2014,276.0,,,,,,,,,,"['Chemical Engineering', 'Environmental Science']",10.860366713681241,Q1
8808,15026,Flow Measurement and Instrumentation,journal,09555986,"0,510",Q2,69,,248,2531,427,245,"1,50","26,36","23,79",0,0,United Kingdom,Western Europe,Elsevier B.V.,1989-2023,Computer Science Applications (Q2); Electrical and Electronic Engineering (Q2); Instrumentation (Q2); Modeling and Simulation (Q2),Computer Science; Engineering; Mathematics; Physics and Astronomy,2014,96.0,,,,,,,,,,"['Computer Science', 'Engineering', 'Mathematics', 'Physics and Astronomy']",9.210060219624513,D1
8943,21100240100,Sustainability,journal,20711050,"0,501",Q2,169,,572,24418,1066,566,"1,48","48,35","36,56",135,0,Switzerland,Western Europe,Multidisciplinary Digital Publishing Institute (MDPI),2009-2023,"Geography, Planning and Development (Q2); Management, Monitoring, Policy and Law (Q2); Renewable Energy, Sustainability and the Environment (Q2)",Energy; Environmental Science; Social Sciences,2014,505.0,,,,,,,,,,"['Energy', 'Environmental Science', 'Social Sciences']",12.157413914265636,Q1
8982,21100220478,Urban Climate,journal,22120955,"0,498",Q2,75,,39,4081,73,38,"1,87","46,91","33,46",35,0,Netherlands,Western Europe,Elsevier B.V.,2012-2023,"Environmental Science (miscellaneous) (Q2); Geography, Planning and Development (Q2); Urban Studies (Q2); Atmospheric Science (Q3)",Earth and Planetary Sciences; Environmental Science; Social Sciences,2014,87.0,,,,,,,,,,"['Earth and Planetary Sciences', 'Environmental Science', 'Social Sciences']",5.219713522699684,D1
10262,21100399705,Minerals,journal,2075163X,"0,421",Q2,58,,59,3077,79,59,"1,35","75,05","34,03",7,0,Switzerland,Western Europe,Multidisciplinary Digital Publishing Institute (MDPI),2010-2023,Geotechnical Engineering and Engineering Geology (Q2); Geology (Q3),Earth and Planetary Sciences,2014,41.0,,,,,,,,,,['Earth and Planetary Sciences'],30.552220888355343,Q2
12200,12000154347,Environmental Engineering and Management Journal,journal,15829596,"0,327",Q3,46,,880,10292,826,837,"1,02","30,91","41,82",6,0,Romania,Eastern Europe,Gh. Asachi Technical University of Iasi,"1988, 2002-2023","Environmental Engineering (Q3); Management, Monitoring, Policy and Law (Q3); Pollution (Q3)",Environmental Science,2014,333.0,,,,,,,,,,['Environmental Science'],39.10034602076124,Q2
